company,category,title,subtitle,link,year,month,day,excerpt,keywords_title,keywords_excerpt,myKeywords
uber,ai,Michelangelo PyML: Introducing Uber's Platform for Rapid Python ML Model Development,No subtitle,https://eng.uber.com/michelangelo-pyml/,2018,10,23,Uber developed Michelangelo PyML to run identical copies of machine learning models locally in both real time experiments and large-scale offline prediction jobs.,"rapid python ml model development, michelangelo pyml","uber developed michelangelo pyml, scale offline prediction jobs",
uber,ai,Applying Customer Feedback: How NLP & Deep Learning Improve Uber's Maps,No subtitle,https://eng.uber.com/nlp-deep-learning-uber-maps/,2018,10,22,"To improve our maps, Uber Engineering analyzes customer support tickets with natural language processing and deep learning to identify and correct inaccurate map data.","deep learning improve uber, applying customer feedback","uber engineering analyzes customer support tickets, correct inaccurate map data",Map 
uber,ai,"Improving Driver Communication through One-Click Chat, Uber's Smart Reply System",No subtitle,https://eng.uber.com/one-click-chat/,2018,9,28,"One-click chat, the Uber driver app's smart reply system, leverages machine learning to make in-app messaging between driver-partners and riders more seamless.","smart reply system, improving driver communication","smart reply system, leverages machine learning",
uber,ai,Introducing Petastorm: Uber ATG's Data Access Library for Deep Learning,No subtitle,https://eng.uber.com/petastorm/,2018,9,21,"Uber's Advanced Technologies Group introduces Petastorm, an open source data access library enabling training and evaluation of deep learning models directly from multi-terabyte datasets in Apache Parquet format.","data access library, uber atg","open source data access library enabling training, advanced technologies group introduces petastorm",
uber,ai,Food Discovery with Uber Eats: Recommending for the Marketplace,No subtitle,https://eng.uber.com/uber-eats-recommending-marketplace/,2018,9,10,Uber Eats engineers describe how they surface restaurant recommendations in the app using multi-objective optimization to give eaters the most satisfying experience while maintaining the health of the Uber Eats marketplace.,"uber eats, food discovery","uber eats engineers describe, uber eats marketplace",
uber,ai,Forecasting at Uber: An Introduction,No subtitle,https://eng.uber.com/forecasting-introduction/,2018,9,6,"In this article, we provide a general overview of how our teams leverage forecasting to build better products and maintain the health of the Uber marketplace.","uber, introduction","teams leverage forecasting, build better products",
uber,ai,Scaling Uber's Customer Support Ticket Assistant (COTA) System with Deep Learning,No subtitle,https://eng.uber.com/cota-v2/,2018,8,23,"Uber built the next generation of COTA by leveraging deep learning models, thereby scaling the system to provide more accurate customer support ticket predictions.","customer support ticket assistant, scaling uber","accurate customer support ticket predictions, leveraging deep learning models",
uber,ai,An Intriguing Failing of Convolutional Neural Networks and the CoordConv Solution,No subtitle,https://eng.uber.com/coordconv/,2018,7,10,"As powerful and widespread as convolutional neural networks are in deep learning, AI Labs' latest research reveals both an underappreciated failing and a simple fix.","convolutional neural networks, intriguing failing","latest research reveals, convolutional neural networks",
uber,ai,Transforming Financial Forecasting with Data Science and Machine Learning at Uber,No subtitle,https://eng.uber.com/transforming-financial-forecasting-machine-learning/,2018,7,5,"Uber developed its own financial planning software, relying on data science and machine learning, to deliver on-demand forecasting and optimize strategic and operations decisions.","transforming financial forecasting, machine learning","financial planning software, uber developed",
uber,ai,Measuring the Intrinsic Dimension of Objective Landscapes,No subtitle,https://eng.uber.com/intrinsic-dimension/,2018,4,26,Curious about what it is like to traverse the high-dimensional loss landscapes of modern neural networks? Check out Uber AI Labs' latest research on measuring intrinsic dimension to find out.,"objective landscapes, intrinsic dimension","uber ai labs, modern neural networks",
uber,ai,Accelerating Deep Neuroevolution: Train Atari in Hours on a Single Personal Computer,No subtitle,https://eng.uber.com/accelerated-neuroevolution/,2018,4,23,"Applying hardware acceleration to deep neuroevolution in what is now an open source project, Uber AI Labs was able to train a neural network to play Atari in just a few hours on a single personal computer, making this type of research accessible to a far greater number of people.","single personal computer, accelerating deep neuroevolution","uber ai labs, single personal computer",
uber,ai,Differentiable Plasticity: A New Method for Learning to Learn,No subtitle,https://eng.uber.com/differentiable-plasticity/,2018,4,10,"Differentiable Plasticity is a new machine learning method for training neural networks to change their connection weights adaptively even after training is completed, allowing a form of learning inspired by the lifelong plasticity of biological brains.","new method, differentiable plasticity","connection weights adaptively even, new machine learning method",
uber,ai,VINE: An Open Source Interactive Data Visualization Tool for Neuroevolution,No subtitle,https://eng.uber.com/vine/,2018,3,16,"Uber AI Labs introduces Visual Inspector for Neuroevolution (VINE), an open source interactive data visualization tool to help neuroevolution researchers better understand this family of algorithms.","open source interactive data visualization tool, vine","uber ai labs introduces visual inspector, open source interactive data visualization tool",Visualization 
uber,ai,Introducing the Uber AI Residency,No subtitle,https://eng.uber.com/uber-ai-residency/,2018,2,20,"Interested in accelerating your career by tackling some of Uber's most challenging AI problems? Apply for the Uber AI Residency, a research fellowship dedicated to fostering the next generation of AI talent.","uber ai residency, introducing","research fellowship dedicated, challenging ai problems",
uber,ai,"Omphalos, Uber's Parallel and Language-Extensible Time Series Backtesting Tool",No subtitle,https://eng.uber.com/omphalos/,2018,1,24,"Uber Engineering created Omphalos, our new backtesting framework, to enable efficient and reliable comparison of forecasting models across languages.","extensible time series backtesting tool, uber","uber engineering created omphalos, forecasting models across languages",
uber,ai,SBNet: Leveraging Activation Block Sparsity for Speeding up Convolutional Neural Networks,No subtitle,https://eng.uber.com/sbnet/,2018,1,16,"Uber ATG Toronto developed Sparse Blocks Network (SBNet), an open source algorithm for TensorFlow, to speed up inference of our 3D vehicle detection systems while lowering computational costs.","leveraging activation block sparsity, convolutional neural networks","uber atg toronto developed sparse blocks network, 3d vehicle detection systems",
uber,ai,COTA: Improving Uber Customer Care with NLP & Machine Learning,No subtitle,https://eng.uber.com/cota/,2018,1,3,"In this article, Uber Engineering introduces our Customer Obsession Ticket Assistant (COTA), a new tool that puts machine learning and natural language processing models in the service of customer care to help agents deliver improved support experiences.","improving uber customer care, machine learning","help agents deliver improved support experiences, natural language processing models",
uber,architecture,"Open Sourcing Peloton, Uber's Unified Resource Scheduler",No subtitle,https://eng.uber.com/open-sourcing-peloton/,2019,3,8,"First introduced by Uber in November 2018, Peloton manages resources across large-scale, distinct workloads, combining separate compute clusters.","unified resource scheduler, open sourcing peloton","peloton manages resources across large, combining separate compute clusters",
uber,architecture,Using Machine Learning to Ensure the Capacity Safety of Individual Microservices,No subtitle,https://eng.uber.com/machine-learning-capacity-safety/,2019,3,7,Uber leveraged machine learning to design our capacity safety forecasting tooling with a special emphasis on calculating a quality of reliability score.,"using machine learning, individual microservices","uber leveraged machine learning, capacity safety forecasting tooling",
uber,architecture,Managing Uber's Data Workflows at Scale,No subtitle,https://eng.uber.com/managing-data-workflows-at-scale/,2019,2,28,"In this article, we discuss Uber's journey toward a unified, multi-tenant, and scalable data workflow management system.","managing uber, data workflows","scalable data workflow management system, journey toward",
uber,architecture,"Aarhus Engineering Internship: Building Aggregation Support for YQL, Uber's Graph Query Language for Grail",No subtitle,https://eng.uber.com/aarhus-engineering-internship/,2019,1,16,"Uber intern Lau Skorstengaard shares his experience working on YQL, the graph query language for our in-house infrastructure state aggregation platform.","graph query language, building aggregation support","uber intern lau skorstengaard shares, house infrastructure state aggregation platform",
uber,architecture,The Billion Data Point Challenge: Building a Query Engine for High Cardinality Time Series Data,No subtitle,https://eng.uber.com/billion-data-point-challenge/,2018,12,10,"Part of Uber's open source M3 metrics system, our query engine can support real-time, large-scale computation and multiple query languages.","high cardinality time series data, billion data point challenge","open source m3 metrics system, multiple query languages",
uber,architecture,Observability at Scale: Building Uber's Alerting Ecosystem,No subtitle,https://eng.uber.com/observability-at-scale/,2018,11,20,"Uber's Observability team built a robust, scalable metrics and alerting pipeline to detect, mitigate, and notify engineers of issues as they occur.","building uber, alerting ecosystem","observability team built, scalable metrics",
uber,architecture,Peloton: Uber's Unified Resource Scheduler for Diverse Cluster Workloads,No subtitle,https://eng.uber.com/peloton/,2018,10,30,"Uber developed Peloton to help us balance resource use, elastically share resources, and plan for future capacity needs.","unified resource scheduler, diverse cluster workloads","help us balance resource use, uber developed peloton",
uber,architecture,Uber's Big Data Platform: 100+ Petabytes with Minute Latency,No subtitle,https://eng.uber.com/uber-big-data-platform/,2018,10,17,"Responsible for cleaning, storing, and serving over 100 petabytes of analytical data, Uber's Hadoop platform ensures data reliability, scalability, and ease-of-use with minimal latency.","big data platform, minute latency","hadoop platform ensures data reliability, analytical data",
uber,architecture,"Maximizing Process Performance with Maze, Uber's Funnel Visualization Platform",No subtitle,https://eng.uber.com/maze/,2018,8,16,"Uber developed Maze, our funnel visualization platform, to identify possible UX bottlenecks and provide insight into the various ways riders and drivers interact with our platform.","maximizing process performance, funnel visualization platform","identify possible ux bottlenecks, various ways riders",Visualization 
uber,architecture,"M3: Uber's Open Source, Large-scale Metrics Platform for Prometheus",No subtitle,https://eng.uber.com/m3/,2018,8,7,"M3, Uber's open source metrics platform for Prometheus, facilitates scalable and configurable multi-tenant storage for large-scale metrics.","scale metrics platform, open source","open source metrics platform, scale metrics",
uber,architecture,Databook: Turning Big Data into Knowledge with Metadata at Uber,No subtitle,https://eng.uber.com/databook/,2018,8,3,"Databook, Uber's in-house platform for surfacing and exploring contextual metadata, makes dataset discovery and exploration easier for teams across the company.","turning big data, uber","makes dataset discovery, exploring contextual metadata",
uber,architecture,JVM Profiler: An Open Source Tool for Tracing Distributed JVM Applications at Scale,No subtitle,https://eng.uber.com/jvm-profiler/,2018,6,28,"Uber open sourced JVM Profiler, our distributed profiler, to enable others to seamlessly collect JVM performance and resource usage metrics.","tracing distributed jvm applications, open source tool","uber open sourced jvm profiler, seamlessly collect jvm performance",
uber,architecture,Engineering a Job-based Forecasting Workflow for Observability Anomaly Detection,No subtitle,https://eng.uber.com/observability-anomaly-detection/,2018,5,16,"Uber's Observability Applications team overhauled our anomaly detection platform's workflow to enable the intuitive and performant backfilling of forecasts, paving the way for more intelligent alerting.","observability anomaly detection, based forecasting workflow","observability applications team overhauled, anomaly detection platform",
uber,architecture,"Scaling for Growth: A Q&A with Uber's VP of Core Infrastructure, Matthew Mengerink",No subtitle,https://eng.uber.com/core-infra-2018/,2018,4,12,"Matthew Mengerink, Vice President of Engineering for Uber's Core Infrastructure group, talks about how converging technologies and cloud computing contribute to stable and scalable growth.","matthew mengerink, core infrastructure","core infrastructure group, cloud computing contribute",
uber,architecture,Scaling Uber's Apache Hadoop Distributed File System for Growth,No subtitle,https://eng.uber.com/scaling-hdfs/,2018,4,5,"Uber's Data Infrastructure team overhauled our approach to scaling our storage infrastructure by incorporating several new features and functionalities, including ViewFs, NameNode garbage collection tuning, and an HDFS load management service.","apache hadoop distributed file system, scaling uber","namenode garbage collection tuning, incorporating several new features",
uber,architecture,"Introducing QALM, Uber's QoS Load Management Framework",No subtitle,https://eng.uber.com/qalm/,2018,3,22,"Uber Engineering built QALM, a smart load management tool allowing for graceful degradation by preserving critical system requests and shedding non-critical requests.","qos load management framework, introducing qalm","smart load management tool allowing, uber engineering built qalm",
uber,architecture,Scaling Infrastructure Management with Grail,No subtitle,https://eng.uber.com/grail/,2018,3,13,"Uber Engineering built Grail, our infrastructure management platform, to aggregate the current state of our systems into a single global view, spanning all zones and regions.","scaling infrastructure management, grail","uber engineering built grail, single global view",
uber,architecture,Code Migration in Production: Rewriting the Sharding Layer of Uber's Schemaless Datastore,No subtitle,https://eng.uber.com/schemaless-rewrite/,2018,2,22,Migrating our Schemaless sharding layer from Python to Go while in production demonstrated that it was possible for us to rewrite the frontend of a massive datastore with zero downtime.,"sharding layer, schemaless datastore","schemaless sharding layer, zero downtime",
uber,architecture,Building Reliable Reprocessing and Dead Letter Queues with Apache Kafka,No subtitle,https://eng.uber.com/reliable-reprocessing/,2018,2,16,"The Uber Insurance Engineering team extended Kafka's role in our existing event-driven architecture by using non-blocking request reprocessing and dead letter queues (DLQ) to achieve decoupled, observable error-handling without disrupting real-time traffic.","dead letter queues, building reliable reprocessing","uber insurance engineering team extended kafka, handling without disrupting real",
uber,architecture,"Introducing AthenaX, Uber Engineering's Open Source Streaming Analytics Platform",No subtitle,https://eng.uber.com/athenax/,2017,10,9,"Uber Engineering built AthenaX, our open source streaming analytics platform, to bring large-scale event stream processing to everyone.","open source streaming analytics platform, uber engineering","open source streaming analytics platform, uber engineering built athenax",
uber,architecture,The Road to uChat: Building Uber's Internal Chat Solution,No subtitle,https://eng.uber.com/uchat/,2017,7,25,"Learn how Uber Engineering's Employee Productivity Tools team built uChat, an internal chat solution capable of scaling to meet the needs of our growing global company.","internal chat solution, building uber","employee productivity tools team built uchat, internal chat solution capable",
uber,architecture,Engineering Uber Predictions in Real Time with ELK,No subtitle,https://eng.uber.com/elk/,2017,7,24,"Uber Engineering architected a real-time trip features prediction system using an open source RESTful search engine built with Elasticsearch, Logstash, and Kibana (ELK).","engineering uber predictions, real time","time trip features prediction system using, open source restful search engine built",
uber,architecture,Engineering On-Demand Transportation for Business with Uber Central,No subtitle,https://eng.uber.com/uber-central/,2017,6,29,Uber Engineering built Uber Central's architecture by integrating the Uber for Business platform with a custom front-end design tailored to customer feedback.,"uber central, demand transportation","uber engineering built uber central, end design tailored",
uber,architecture,Re-Architecting Cash and Digital Wallet Payments for India with Uber Engineering,No subtitle,https://eng.uber.com/india-payments/,2017,6,19,"In this article, a software engineer on Uber Engineering's Payments Efficiency Team discusses how we optimized our driver payment platform for cash and digital wallet commissions in India.","digital wallet payments, uber engineering","payments efficiency team discusses, driver payment platform",
uber,architecture,Hudi: Uber Engineering's Incremental Processing Framework on Apache Hadoop,No subtitle,https://eng.uber.com/hoodie/,2017,3,12,"Uber Engineering's data processing platform team recently built and open sourced Hudi, an incremental processing framework that supports our business critical data pipelines. In this article, we see how Hudi powers a rich data ecosystem where external sources can be ingested into Hadoop in near real-time.","incremental processing framework, uber engineering","data processing platform team recently built, business critical data pipelines",
uber,architecture,Evolving Distributed Tracing at Uber Engineering,No subtitle,https://eng.uber.com/distributed-tracing/,2017,2,2,"This article is about developing Uber Engineering's open source distributed tracing system, Jaeger.","evolving distributed tracing, uber engineering","open source distributed tracing system, developing uber engineering",
uber,architecture,Engineering the Architecture Behind Uber's New Rider App,No subtitle,https://eng.uber.com/new-rider-app/,2016,12,20,"In November 2016 Uber unveiled a sleek new rider app. The app implements a new mobile architecture across both iOS and Android. In this article, Uber Engineering discusses why we felt the need to create a new architecture pattern, and how it helps us reach our goals.","new rider app, architecture behind uber","november 2016 uber unveiled, new mobile architecture across",
uber,architecture,Introducing Chaperone: How Uber Engineering Audits Apache Kafka End-to-End,No subtitle,https://eng.uber.com/chaperone/,2016,12,8,"Uber Engineering explains why and how we built Chaperone, our in-house auditing system for monitoring Kafka pipeline health.","uber engineering audits apache kafka end, introducing chaperone","monitoring kafka pipeline health, uber engineering explains",
uber,architecture,Cherami: Uber Engineering's Durable and Scalable Task Queue in Go,No subtitle,https://eng.uber.com/cherami/,2016,12,6,"How Uber engineered Cherami, the resilient, scalable, distributed task queue system written in the Go programming language.","scalable task queue, uber engineering","distributed task queue system written, uber engineered cherami",
uber,architecture,Dockerizing MySQL at Uber Engineering,No subtitle,https://eng.uber.com/dockerizing-mysql/,2016,11,1,"In this article, we take a look at Schemadock, Uber Engineering's tooling solution for managing our increasing number of MySQL clusters.","uber engineering, dockerizing mysql","uber engineering, tooling solution",
uber,architecture,Why Uber Engineering Switched from Postgres to MySQL,No subtitle,https://eng.uber.com/mysql-migration/,2016,7,26,"Uber Engineering explains the technical reasoning behind its switch in database technologies, from Postgres to MySQL.","uber engineering switched, postgres","uber engineering explains, technical reasoning behind",
uber,architecture,Uber Engineering's Micro Deploy: Deploying Daily with Confidence,No subtitle,https://eng.uber.com/micro-deploy/,2016,6,23,"Uber Engineering's Micro Deploy (μDeploy), our in-house deployment system that builds, upgrades, and rolls back services at Uber.","uber engineering, micro deploy","rolls back services, house deployment system",
uber,architecture,How Uber for Business Engineering Verifies Your Ride in Real Time,No subtitle,https://eng.uber.com/u4b-ride-policies/,2016,5,17,"How Uber Engineering architected ride policies for Uber for Business, our way of verifying rides in real time.","business engineering verifies, real time","uber engineering architected ride policies, verifying rides",
uber,architecture,Rewriting Uber Engineering: The Opportunities Microservices Provide,No subtitle,https://eng.uber.com/building-tincup/,2016,4,20,"To show how a microservice is implemented in Uber Engineering's ecosystem, we look at the development of Tincup, our currency and exchange rate service.","rewriting uber engineering, opportunities microservices provide","exchange rate service, uber engineering",
uber,architecture,"Using Triggers On Schemaless, Uber Engineering's Datastore Using MySQL",No subtitle,https://eng.uber.com/schemaless-part-three/,2016,1,19,"The details and examples of Schemaless triggers, a key feature of the datastore that's kept Uber Engineering scaling since October 2014. This is the third installment of a three-part series on Schemaless; the first part is a design overview and the second part is a discussion of architecture.","datastore using mysql, using triggers","kept uber engineering scaling since october 2014, third installment",
uber,architecture,"The Architecture of Schemaless, Uber Engineering's Trip Datastore Using MySQL",No subtitle,https://eng.uber.com/schemaless-part-two/,2016,1,15,"How Uber's infrastructure works with Schemaless, the datastore using MySQL that's kept Uber Engineering scaling since October 2014. This is part two of a three-part series on Schemaless; part one is on designing Schemaless.","trip datastore using mysql, uber engineering","kept uber engineering scaling since october 2014, datastore using mysql",
uber,architecture,"Designing Schemaless, Uber Engineering's Scalable Datastore Using MySQL",No subtitle,https://eng.uber.com/schemaless-part-one/,2016,1,12,"The making of Schemaless, Uber Engineering's custom designed datastore using MySQL, which has allowed us to scale from 2014 to beyond. This is part one of a three-part series on Schemaless.","scalable datastore using mysql, uber engineering","custom designed datastore using mysql, uber engineering",
uber,architecture,Service-Oriented Architecture: Scaling the Uber Engineering Codebase As We Grow,No subtitle,https://eng.uber.com/soa/,2015,9,8,Moving away from a monolithic codebase to a service-oriented architecture (SOA) has not been an easy task. Here's a brief glimpse of the scalability problems we've faced and the steps we've taken to solve them.,"uber engineering codebase, oriented architecture","scalability problems, oriented architecture",
uber,architecture,Project Mezzanine: The Great Migration,No subtitle,https://eng.uber.com/mezzanine-migration/,2015,7,28,"What happens when you have to migrate hundreds of millions of rows of data and 100 services over several weeks with dozens of engineers, while simultaneously serving millions of rides? The story of how Uber moved to Mezzanine in 2014.","project mezzanine, great migration","simultaneously serving millions, uber moved",
uber,culture,Data Science at Scale: A Conversation with Uber's Fran Bell,No subtitle,https://eng.uber.com/data-science-at-scale-a-conversation-with-ubers-fran-bell/,2019,3,13,We spoke to Data Science Director Fran Bell about machine learning at Uber and what she finds most challenging—and rewarding—about her work.,"fran bell, data science","data science director fran bell, rewarding —",
uber,culture,Mitigating Risk in a Three-Sided Marketplace: A Conversation with Trupti Natu and Neel Mouleeswaran on the Uber Eats Risk Team,No subtitle,https://eng.uber.com/uber-eats-risk-team/,2019,3,12,We sat down with a risk strategy manager and a risk engineer to discuss how they build solutions to minimize risk in the Uber Eats three-sided marketplace.,"uber eats risk team, mitigating risk","uber eats three, risk strategy manager",
uber,culture,The Uber Engineering Internship Experience: European Edition,No subtitle,https://eng.uber.com/engineering-internship-europe/,2019,3,4,"Engineering interns from Uber's European offices talk about their experiences, including the projects they worked on, the people they worked with, and the social activities they engaged in.","uber engineering internship experience, european edition","european offices talk, social activities",
uber,culture,"Profiles in Coding: Tatiana Romanova, Uber Payments Platform, Amsterdam",No subtitle,https://eng.uber.com/profile-tatiana-romanova-amsterdam/,2019,2,26,"Uber site reliability engineer Tatiana Romanova, based in our Amsterdam engineering office, discusses her computer science background, her journey to Uber, and her work maintaining our Payments Platform.","uber payments platform, tatiana romanova","uber site reliability engineer tatiana romanova, computer science background",
uber,culture,Meet Uber Sofia's Women in Tech,No subtitle,https://eng.uber.com/sofia-women-in-tech/,2019,2,19,"Uber Sofia is also home to a vibrant community of women technologists, from software engineers and data analysts to designers and program managers.","meet uber sofia, women","women technologists, vibrant community",
uber,culture,"Building Locally, Scaling Globally: Meet the Tech Team at Uber New York City",No subtitle,https://eng.uber.com/uber-nyc-2019/,2019,2,6,"Ever wondered what it's like to work in tech at Uber New York City? Just blocks from Times Square and Bryant Park, Uber's new office in midtown Manhattan is home to more than a dozen teams, hundreds of employees (and growing), and a wide variety of engineering roles.","uber new york city, tech team","uber new york city, new office",
uber,culture,Increasing Representation at Uber through The Hidden Genius Project,No subtitle,https://eng.uber.com/increasing-representation-uber/,2019,1,30,"In its first year, the Career Prep Program, a collaboration between Uber and The Hidden Genius Project, demonstrated how technology-focused companies can embrace and reinforce values of diversity and inclusion among engineers, while having a positive impact in the community.","hidden genius project, increasing representation","inclusion among engineers, hidden genius project",
uber,culture,From Self-Driving Cars to Optimizing Claims Efficiency: My Unconventional Journey to Insurance Engineering,No subtitle,https://eng.uber.com/insurance-engineering/,2019,1,4,"In this article, engineering manager Lili Kan reflects on her decision to lead Uber's Insurance Engineering team and discusses the challenges—and opportunities—of building insurance products for our platform.","optimizing claims efficiency, unconventional journey","engineering manager lili kan reflects, insurance engineering team",
uber,culture,"Profiles in Coding: Sylvain Francois, Uber Freight",No subtitle,https://eng.uber.com/sylvain-francois-uber-freight/,2018,12,27,"For Uber's Profiles in Coding series, we interview Uber Freight engineer Sylvain Francois to find out the nature of his daily work and his best tips for coders.","uber freight, sylvain francois","interview uber freight engineer sylvain francois, daily work",
uber,culture,"Open Source at Uber: Meet Alex Sergeev, Horovod Project Lead",No subtitle,https://eng.uber.com/alex-sergeev-horovod/,2018,12,13,"We sat down with Horovod project lead, Alex Sergeev, to discuss his path to open source and what most excites him about the future of Uber's distributed deep learning framework.","meet alex sergeev, horovod project lead","distributed deep learning framework, horovod project lead",
uber,culture,My Journey from Working as a Fabric Weaver in Ethiopia to Becoming a Software Engineer at Uber in San Francisco,No subtitle,https://eng.uber.com/fabric-weaver-to-software-engineer/,2018,11,12,Samuel Zemedkun reflects on his immigrant experience and how his part-time driving through the Uber platform funded his education and inspired his decision to join the company.,"software engineer, san francisco","uber platform funded, samuel zemedkun reflects",
uber,culture,"Engineering Sustainability: An Interview with Uber's Head of Information Technology, Shobhana Ahluwalia",No subtitle,https://eng.uber.com/shobhana-ahluwalia/,2018,11,6,"We sat down with Uber's Head of Information Technology to discuss her journey to tech services, what she finds most challenging about her work at Uber, and how her team is setting the company up for success.","shobhana ahluwalia, information technology","tech services, information technology",
uber,culture,Transforming Payments & Empowering Developers: Meet the Uber Amsterdam Tech Team,No subtitle,https://eng.uber.com/uber-amsterdam-profile-2018/,2018,10,24,"Home to Uber's Payments and Developer Platform teams, Uber Amsterdam is the company's largest engineering office outside of the U.S.","uber amsterdam tech team, transforming payments","largest engineering office outside, developer platform teams",
